idx_original|situacao|flag_efisco_vermelho|flag_catmat_vermelho|match_parcial|classe_efisco|classe_catmat|codigo_efisco|codigo_catmat|item_efisco|item_catmat
10|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|157562|626639|"AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM BISEL TOUHY, PONTA CURVA, CANULA DEMARCADA E CANHAO LUER-LOCK, TIPO PARA PERIDURAL SIMPLES E CONTINUA, TAMANHO G18 X 3 1/4"", O PRODUTO DEVERA OBEDECER A COMB. COM ART.31 DA LEI 8078/90, CONTENDO DADOS DE IDENTIFICACAO,PROCEDENCIA,VAL,LOTE E REG. NO MS"|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 18 G , COMPRIMENTO AGULHA: CERCA DE 3"" - 80 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
11|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3460606|626643|AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM BISEL TOUHY, PONTA CURVA, CANULA DEMARCADA E CANHAO LUER-LOCK,TIPO PERIDURAL PARA OBESO,TAMANHO 18G X 1,3X150MM,O PRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE, EMBALAGEM INDIVIDUAL EM PAPELGRAU CIRURGICO OU COM FILME TERMOPLASTICO.|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 18 G , COMPRIMENTO AGULHA: CERCA DE 6"" - 150 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
12|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|690562|626640|"AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM BISEL TOUHY, PONTA CURVA, CANULA DEMARCADA E CANHAO LUER-LOCK, TIPO PARA PERIDURAL SIMPLES E CONTINUA, TAMANHO G18 X 3 1/2"", O PRODUTO DEVERA OBEDECER A COMB. COM ART.31 DA LEI 8078/90, CONTENDO DADOS DE IDENTIFICACAO,PROCEDENCIA,VAL,LOTE E REG. NO MS"|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 18 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
13|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3461874|626647|AGULHA PERIDURAL COM CONEXAO LUER-LOCK DESCARTAVEL - EM ACO INOX,TIPO TUOHY, PEDIATRICO,TAMANHO 20G X 0,9 X 50,0MM,EMBALAGEM INDIVIDUAL EM PAPEL GRAU CIRURGICO OU FILME TERMOPLASTICO. ROTULO COM NUMERO DO LOTE, DATA FABRICACAO/VALIDADE E PROCEDENCIA.|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: PERIDURAL , MODELO AGULHA: AGULHA PONTA TUOHY , DIÂMETRO AGULHA: 20 G , COMPRIMENTO AGULHA: CERCA DE 2"" - 50 MM , CARACTERÍSTICA AGULHA: GRADUADA , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
14|OK_SEM_FLAGS|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|204641|626577|AGULHA PARA ANESTESIA RAQUIDIANA DESCARTAVEL - EM ACO INOX, COM MANDRIL DE ENCAIXE ANATOMICO, TIPO BISEL TIPO QUINCKE, EMPUNHADURA ANATOMICA COM DEPRESSOES DIGITAIS, 22GX3 1/2, ESTERIL, ., EMBALAGEM INDIVIDUAL, CONTENDO DADOS DE IDENTIFICACAO E PROCEDENCIA, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A ART.31 L.8078/90 PORT.CONJ.N.1 DE 23/1/96-M.SAUDE, CONTENDO DADOS DE VALIDADE, LOTE E REGISTRO NO MS|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: RAQUIDIANA , MODELO AGULHA: AGULHA PONTA QUINCKE , DIÂMETRO AGULHA: 22 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
15|CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|1331027|626585|"AGULHA PARA ANESTESIA RAQUIDIANA DESCARTAVEL - EM BISEL TIPO QUICKLE, MANDRIL DE ENCAIXE ANATOMICO, TIPO QUINCKER, EMPUNHADURA ANATOMICA COM DEPRESSOES DIGITAIS, 25G X 3 1/2"" OU N-. 5,0, TRANSLUCIDO, EMBALAGEM INDIVIDUAL, ESTERIL, CONTENDO DADOS DE IDENTIFICACAO, PROCEDENCIA, VALIDADE, LOTE E REGISTRO NO MS, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A ART.31 LEI 8078/90 PORT CONJ N1 DE 23/1/96 - M.SAUDE."|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: RAQUIDIANA , MODELO AGULHA: AGULHA PONTA QUINCKE , DIÂMETRO AGULHA: 25 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
16|CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3421910|626586|"AGULHA PARA RAQUIANESTESIA - MEDINDO 25G X 4 3/4"" (OBESO) , DIAMETRO ( 0,53 X 120,0MM ), COM BICEL DO TIPO QUINCKE PONTIAGUDO PARA ESFORCO REDUZIDO NA PUNCAO,CANHAO TRANSPARENTE QUE PERMITE A VISUALIZACAO DO LIQUOR, EMPENHADURA ANATOMICA COM  DEPRESSOES DIGITAIS  DURANTE A PUNCAO DA DURAMATER, BAIXA TAXAS DE PHDH, INTEGRACAO ENTRE O MANDRIL E A LUZ DA AGULHA, EVITANDO O RISCO DE FORMACAO DE TUMORES EPIDERMOIDES.,EM PAPEL GRAU CIRURGICO E OU COM FILMETERMOPLASTICO, COM ABERTURA EM PETALA,EMBALAGEM APROPRIADA COM DATA DA ESTERILIZACAO,ROTULO COM NUMERO DO LOTE, DATA VALIDADE FABRICACAO, PROCEDENCIA. REGISTRO NO MS."|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: RAQUIDIANA , MODELO AGULHA: AGULHA PONTA QUINCKE , DIÂMETRO AGULHA: 25 G , COMPRIMENTO AGULHA: CERCA DE 3 3/4"" - 120 MM , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
17|CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|1818236|626589|AGULHA PARA ANESTESIA RAQUIDIANA DESCARTAVEL - EM ACO INOX, EM BISEL DO TIPO QUICKLE, MANDRIL DE ENCAIXE ANATOMICO, TIPO QUINCKER, 27G X 3 1/2, TRANSLUCIDO, EMBALAGEM INDIVIDUAL, ESTERIL, CONTENDO DADOS DE IDENTIFICACAO, PROCEDENCIA, VALIDADE, LOTE E REGISTRO NO MS, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A ART.31 L.8780/90 PORT.CONJ.N.1 DE 23/1/96-M.SAUDE|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: RAQUIDIANA , MODELO AGULHA: AGULHA PONTA QUINCKE , DIÂMETRO AGULHA: 27 G , COMPRIMENTO AGULHA: CERCA DE 3 1/2"" - 90 MM , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
18|CATMAT_ALTERNATIVO|False|False|False|MATERIAIS DE USO TECNICO HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3674770|626590|"AGULHA PARA RAQUIANESTESIA - MEDINDO 27G X 4 3/4"" (OBESO), DIAMETRO ( 0,42 X 120,0MM ), COM BICEL DO TIPO QUINCKE PONTIAGUDO PARA ESFORCO REDUZIDO NA PUNCAO,CANHAO TRANSPARENTE QUE PERMITE A VISUALIZACAO DO LIQUOR, EMPENHADURA ANATOMICA COM  DEPRESSOES DIGITAIS  DURANTE A PUNCAO DA DURAMATER, BAIXA TAXAS DE PHDH, INTEGRACAO ENTRE O MANDRIL E A LUZ DA AGULHA, EVITANDO O RISCO DE FORMACAO DE TUMORES EPIDERMOIDES.,EM PAPEL GRAU CIRURGICO E OU FILMETERMOPLASTICO, COM ABERTURA EM PETALA,EMBALAGEM APROPRIADA COM DATA DA ESTERILIZACAO,ROTULO COM NUMERO DO LOTE, DATA VALIDADE FABRICACAO, PROCEDENCIA. REGISTRO NO MS."|"DISPOSITIVO P/ ANESTESIA REGIONAL, TIPO ANESTESIA: RAQUIDIANA , MODELO AGULHA: AGULHA PONTA QUINCKE , DIÂMETRO AGULHA: 27 G , COMPRIMENTO AGULHA: CERCA DE 3 3/4"" - 120 MM , MATERIAL AGULHA: AÇO INOXIDÁVEL , TIPO CONECTOR: LUER TRANSPARENTE , COMPONENTE: C/ MANDRIL , ESTERILIDADE: ESTÉRIL, USO ÚNICO "
19|OK_SEM_FLAGS|False|False|False|INSTRUMENTAIS DE USO MEDICO, CIRURGICO OU HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3942368|605317|AGULHA PARA BIOPSIA OSSEA - EM ACO INOXDAVEL, PONTA DE DUPLO DIAMANTE,DIMENSOES DE (11,00 G X 10,00 CM), ACOMPANHANDO A CANULA T-LOK, OBTURADOR MARCADO E DISPOSITIVO DE DESCARTE,COM PUNHO EM ACRILICO|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 12 G X 10 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
20|OK_SEM_FLAGS|False|False|False|INSTRUMENTAIS DE USO MEDICO, CIRURGICO OU HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3831302|605318|AGULHA PARA BIOPSIA OSSEA - EM ACO INOXDAVEL, PONTA DE DUPLO DIAMANTE,DIMENSOES DE 11,00GX15,00CM, ACOMPANHANDO A CANULA T-LOK, OBTURADOR MARCADO E DISPOSITIVO DE DESCARTE,COM PUNHO EM ACRILICO|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 12 G X 15 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
21|OK_SEM_FLAGS|False|False|False|INSTRUMENTAIS DE USO MEDICO, CIRURGICO OU HOSPITALAR|INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|3970035|605316|AGULHA PARA BIOPSIA OSSEA - EM ACO INOXDAVEL, PONTA DE DUPLO DIAMANTE,DIMENSOES DE (8,00 G X 15,00 CM), ACOMPANHANDO A CANULA T-LOK, OBTURADOR MARCADO E DISPOSITIVO DE DESCARTE,COM PUNHO EM ACRILICO|AGULHA PUNÇÃO ÓSSEA, MODELO: P/ ASPIRAÇÃO, BIÓPSIA , APLICAÇÃO: INTRAÓSSEA / MEDULA ÓSSEA , DIMENSÕES: CERCA DE 8 G X 15 CM , MATERIAL AGULHA: AÇO INOXIDÁVEL , PEÇA DE MÃO: C/ EMPUNHADURA , COMPONENTE 1: C/ MANDRIL , COMPONENTE 2: C/ AJUSTE DE PROFUNDIDADE , COMPONENTE 3: CONECTOR LUER , ESTERILIDADE: ESTÉRIL, USO ÚNICO , EMBALAGEM: INDIVIDUAL 
