codigo_efisco|posicao|faixa|origem|grupo_efisco|classe_efisco|tem_medida|medidas_consulta|item_efisco|top1_catmat|top1_classe|correto_catmat|correto_classe|mesmo_pdm_top1_correto|movimento
503940-1|3.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|INSTRUMENTAIS DE USO MEDICO, CIRURGICO OU HOSPITALAR|True|{'MM': {360.0, 3.0, 5.0}}|PINCA - PORTA AGULHA, EM ACO INOX CIRURGICO,CURVO, COM VIDEA, BOCA 3,0 MM, EMPUNHADURA LONGITUDINAL, ANGULADA COM CREMALHEIRA,MEDINDO 5,0 MM X 36,00CM (DXC)|PINÇA CIRÚRGICA, MODELO 1: MIXTER , FORMATO PONTA: PONTA ANGULADA 90° , TIPO PONTA: SERRILHADA , ADICIONAL: DELICADA , COMPRIMENTO TOTAL: CERCA DE 16 CM, COMPONENTE: C/ CREMALHEIRA , MATERIAL: AÇO INOXIDÁVEL , ESTERILIDADE: ESTERILIZÁVEL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|PINÇA P/ VIDEOCIRURGIA, APLICAÇÃO: APREENSÃO ATRAUMÁTICA , MODELO 2: OVAL FENESTRADA , FORMATO PONTA: CURVA , HASTE: HASTE S/ ISOLAMENTO , DIMENSÃO: CERCA DE 5 MM X 35 CM , COMPONENTE: MANOPLA C/ CREMALHEIRA , ESTERILIDADE: ESTERILIZÁVEL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
465065-4|1.0|1|profs_saude|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {20.0}}|KIT COM TUBO ENDOBRONQUIAL - DE DUPLO LUMEN (TRAQUEAL E BRONQUIAL), DESCARTAVEL, ESTERIL EM OXIDO DE ETILENO, SEM GANCHO DE CARINA,CONFECCIONADO EM PVC, TRANSPARENTE, PARA PERMITIR A VENTILACAO SELETIVA DOS PULMOES,COM 02 BALOES INTERNOS, VALVULAS SELF-SEALING EXTERNAS ADAPTAVEIS A SERINGA,BALOES PILOTOS INDIVIDUAIS CODIFICADAS ATRAVES DE CORES,BALAO TRAQUEAL CONFECCIONADO PARA EXERCER BAIXA PRESSAO DA TRAQUEIA QUANDO INSUFLADO, PONTA ATRAUMATICA,ACOMPANHA UM GUIA DE INTUBACAO, TRES CATETERES DE SUCCAO E UM CONECTOR DE CARLEANS EM FORMA DE Y COM DOIS ADAPTADORES DUPLOS GIRATORIOS,,,LADO ESQUERDO N° 39,COM BALAO BRONQUIAL EM FORMA DE -S- COM ORIFICIO LATERAL DE MURPHY RADIOPACO NA PONTA BRONQUIAL PARA EVITAR OCLUSAO DA VIA E AUMENTO DA RESISTENCIA RESPIRATORIA,COM LINHAS RADIOPACAS NAS PONTAS DOS TUBOS E UMA LINHA RADIOPACA A 2,0 CM,ORIFICIO DE MURPHY PARA MELHOR VISUALIZACAO DO POSICIONAMENTO DO TUBO,EMBALAGEM INDIVIDUAL EM INVOLUCRO APROPRIADO,ACONDICIONAMENTO DE ACORDO COM AS EXIGENCIAS DO MINISTERIO DA SAUDE|TUBO ENDOBRONQUIAL, MODELO: DUPLO LÚMEN C/ GANCHO DE CARINA , TIPO USO: ESQUERDO , CALIBRE: 39 FR , MATERIAL*: PVC , COMPONENTES: C/ BALÃO TRAQUEAL E ENDOBRONQUIAL , CONECTOR: CONECTORES , ADICIONAL 1: FIO GUIA , ADICIONAL: SONDAS ASPIRAÇÃO , ADICIONAL*: RADIOPACO, GRADUADO , APRESENTAÇÃO: CONJUNTO COMPLETO, EMBALAGEM INDIVIDUAL , ESTERILIDADE*: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|TUBO ENDOBRONQUIAL, MODELO: DUPLO LÚMEN C/ GANCHO DE CARINA , TIPO USO: ESQUERDO , CALIBRE: 39 FR , MATERIAL*: PVC , COMPONENTES: C/ BALÃO TRAQUEAL E ENDOBRONQUIAL , CONECTOR: CONECTORES , ADICIONAL 1: FIO GUIA , ADICIONAL: SONDAS ASPIRAÇÃO , ADICIONAL*: RADIOPACO, GRADUADO , APRESENTAÇÃO: CONJUNTO COMPLETO, EMBALAGEM INDIVIDUAL , ESTERILIDADE*: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
581257-7|3.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS ESPECIFICOS DE DEMANDA JUDICIAL|False||PRODUTOS DE HIGIENE PARA DEMANDA JUDICIAL - DO TIPO LENCO BARREIRA DE PROTECAO,MARCA COLOPLAST|LENCO DE TECIDO, NOME: LENCO DE TECIDO |MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO|ADJUVANTE P/ ESTOMIA, TIPO: PROTETOR DE PELE PERIESTOMIA , MATERIAL: SOLUÇÃO POLIMÉRICA, C/ ÁLCOOL , ASPECTO FÍSICO: LÍQUIDO , TIPO USO: P/ FORMAR PELÍCULA , APRESENTAÇÃO: LENÇO NÃO TECIDO , ESTERILIDADE: USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
375059-0|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {115.0, 100.0}, 'ML': {725.0}}|BOLSA PARA ESTOMA INTESTINAL DRENAVEL - SISTEMA UMA PECA,COMPOSTA DE PVC SILENCIOSO E A PROVA DE ODORES, REVESTIDA DE TECIDO SEM TRAMA COM FIBRAS DE POLIPROPILENO HIDROFOBICO,BASE PLANA DE DUPLA CAMADA ADESIVA COMPOSTA DE OXIDO DE FERRO SINTETICO, CARBOXIMETILCELULOSE SODICA, GOMA GUAR, PECTINA, GELATINA ESTIRENO-ISOPRENOESTIRENO E POLIISOBUTILENO; JANELA INTEGRADA DE 100,00MM E VALVULA DE DRENAGEM EM FORMATO FUNIL ADPATAVEL A DIVERSAS BOLSAS DE CAMA,RECORTAVEL DE 10,00 A 115,00MM; BOLSA COM CAPACIDADE PARA 725,00ML E ADESIVO MICROPOROSO HIPOALERGENICO.|SISTEMA P/ ESTOMIA, APLICAÇÃO: INTESTINAL , TIPO: BOLSA C/ BASE ADESIVA 1 PEÇA , MODELO: DRENÁVEL , TIPO BOLSA: ANTIODOR OPACA , TIPO BASE: ADESIVO MICROPOROSO E RESINA SINTÉTICA , ESTRUTURA: PLANA , TIPO RECORTE BASE ADESIVA: RECORTÁVEL , TIPO USO: ADULTO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|SISTEMA P/ ESTOMIA, APLICAÇÃO: INTESTINAL , TIPO: BOLSA C/ BASE ADESIVA 1 PEÇA , MODELO: DRENÁVEL , TIPO BOLSA: ANTIODOR OPACA , TIPO BASE: ADESIVO MICROPOROSO E RESINA SINTÉTICA , ESTRUTURA: PLANA , TIPO RECORTE BASE ADESIVA: RECORTÁVEL , TIPO USO: ADULTO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
322003-6|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|KITS/REAGENTES PARA DOSAGENS BIOQUIMICAS|False||REAGENTE PARA DOSAGEM DE PROTEINA TOTAL - ENSAIO COLORIMETRICO-PONTO FINAL,FAIXA DE LEITURA VISIVEL 552/659 NM,METODOLOGIA POR BIURETO,PRONTO PARA USO,EM SORO / PLASMA,ANALISADORES AUTOMATICOS DE QUIMICA CLINICA,MANUAL ATUALIZADO POR INFORMATIVOS,EMBALAGEM DE ACORDO COM A LEGISLACAO VIGENTE,ROTULO CONTENDO NUMERO DE LOTE, PRAZO DE VALIDADE, TEMPERATURA DE ESTOCAGEM E DATA DE FABRICACAO,VALIDADE DO MATERIAL APOS ENTREGA DE NO MINIMO 12 MESES|REAGENTE PARA DIAGNÓSTICO CLÍNICO 5, TIPO: CONJUNTO COMPLETO PARA AUTOMAÇÃO , TIPO DE ANÁLISE: QUANTITATIVO DE CÁLCIO , MÉTODO: COLORIMÉTRICO DE PONTO FINAL , APRESENTAÇÃO: TESTE |"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE"|REAGENTE PARA DIAGNÓSTICO CLÍNICO 5, TIPO: CONJUNTO COMPLETO PARA AUTOMAÇÃO , TIPO DE ANÁLISE: QUANTITATIVO DE CÁLCIO , MÉTODO: COLORIMÉTRICO DE PONTO FINAL , APRESENTAÇÃO: TESTE |"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE"|True|entrou
192693-4|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {400.0}}|EQUIPO PARA AFERICAO DE PRESSAO VENOSA CENTRAL - ESTERIL, CONSTITUIDO DE CAMARA GOTEJADORA FLEXIVEL, TUBO CONECTORES INTERLIGADOS POR, INTERMEDIARIOS EM FORMA DE Y NO TERCO SUPERIOR,PINCA ROLETE DE ALTA PRECISAO, FITA COM ESCALA, COM GRADUACAO MINIMA DE 0 A 40 CM DE BAIXO PARACIMA., EMBALAGEM DE PAPEL GRAU CIRURGICO E/OU FILMETERMOPLASTICO QUE PERMITA ABERTURA ASSEPTICA,, CONTENDO DADOS DE IDENTIFICACAO,PROCEDENCIA,LOTE,TIPO DE ESTERILIZACAO,VAL. E REG. NO MS.|EQUIPO ESPECIAL - USO MÉDICO, APLICAçãO: P/ MEDIR PVC - PRESSÃO VENOSA CENTRAL , MATERIAL: PVC TRANSPARENTE , CONECTOR SOLUÇÃO: PONTA PERFURANTE , CÂMARA GOTEJAMENTO: MACROGOTAS, FLEXÍVEL , REGULADOR DE FLUXO MANUAL: PINÇA ROLETE E CLAMP , COMPRIMENTO TOTAL DO TUBO: ATÉ 180 CM, C/ DERIVAÇÃO EM Y , CONECTOR DISTAL: LUER , ADICIONAL: C/ ESCALA GRADUADA EM CM , ESTERILIDADE: ESTÉRIL, USO ÚNICO , TIPO EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|EQUIPO ESPECIAL - USO MÉDICO, APLICAçãO: P/ MEDIR PVC - PRESSÃO VENOSA CENTRAL , MATERIAL: PVC TRANSPARENTE , CONECTOR SOLUÇÃO: PONTA PERFURANTE , CÂMARA GOTEJAMENTO: MACROGOTAS, FLEXÍVEL , REGULADOR DE FLUXO MANUAL: PINÇA ROLETE E CLAMP , COMPRIMENTO TOTAL DO TUBO: ATÉ 180 CM, C/ DERIVAÇÃO EM Y , CONECTOR DISTAL: LUER , ADICIONAL: C/ ESCALA GRADUADA EM CM , ESTERILIDADE: ESTÉRIL, USO ÚNICO , TIPO EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
179292-0|1.0|1|profs_saude|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {305.0, 50.8, 11.0}}|"CATETER PARA SUBCLAVIA - EM POLIURETANO,PARA VIA CENTRAL,MEDINDO 30,5CM, RADIOPACO, COMPOSTO DE GUIA DE ACO INOXIDAVEL,AGULHA DE CALIBRE 19GX12""MEDINDO 1,1X30,5CM , INFANTIL, ESTERIL,TRIFACEADO E BIANGULADA, COM ORIFIO PARA S UTURA E FECHO DE SEGURANCA"|CATETER CENTRAL, APLICAÇÃO: VENOSO , MATÉRIA PRIMA: POLIURETANO RADIOPACO , VIAS: MONO LÚMEN , LÚMEN: 19 GAU, COMPRIMENTO: CERCA 30 CM, TIPO FIXAÇÃO: FIXAÇÃO SUBCUTÂNEA , CONECTOR: CONECTORES PADRÃO, CLAMP E TAMPA , COMPONENTE: KIT INTRODUTOR COMPLETO , TIPO USO: ESTÉRIL, DESCARTÁVEL, EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|CATETER CENTRAL, APLICAÇÃO: VENOSO , MATÉRIA PRIMA: POLIURETANO RADIOPACO , VIAS: MONO LÚMEN , LÚMEN: 19 GAU, COMPRIMENTO: CERCA 30 CM, TIPO FIXAÇÃO: FIXAÇÃO SUBCUTÂNEA , CONECTOR: CONECTORES PADRÃO, CLAMP E TAMPA , COMPONENTE: KIT INTRODUTOR COMPLETO , TIPO USO: ESTÉRIL, DESCARTÁVEL, EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
155952-4|2.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'ML': {31000.0}}|CONJUNTO PARA NEBULIZACAO CONTINUA - COMPOSTO POR COPO PARA MEDICAMENTO, MASCARA E EXTENSAO C/ ROSCA, COMPLETO, PARA ADULTO, ROTULAGEM RESPEITANDO O DECRETO LEI 79094/77 ART.31 L.8078/90 PORT.CONJ.N.1.DE 23/1/96-M-SAUDE|MATERIAL P/ VNI - CPAP / BIPAP, TIPO 1: MÁSCARA FACIAL , MATERIAL*: SILICONE , CARACTERÍSTICA ADICIONAL: FENDA EXALATÓRIA , TAMANHO*: ADULTO M , TIPO CONECTOR: CONECTOR PADRÃO , TIPO FIXAÇÃO: FIXADOR AJUSTÁVEL , APRESENTAÇÃO: CONJUNTO COMPLETO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|MATERIAL GASOTERAPIA, MODELO: MACRONEBULIZADOR , SAÍDA: P/ OXIGÊNIO , TIPO MÁSCARA: MÁSCARA EM SILICONE, C/ AJUSTE , TAMANHO: ADULTO , TIPO FRASCO: FRASCO ACRÍLICO GRADUADO, C/ TAMPA , VOLUME: CERCA DE 500 ML, TIPO EXTENSÃO: TRAQUEIA CORRUGADA EM SILICONE C/ CONECTORES , COMPRIMENTO EXTENSÃO: CERCA DE 1,5 M, CARACTERÍSTICA ADICIONAL: CONECTOR METAL C/ROSCA , ESTERILIDADE*: ESTERILIZÁVEL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
423751-0|2.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|ORTESES, PROTESES E MATERIAIS AUXILIARES|True|{'MM': {12.0}}|BOTAO PARA CIRURGIA ORTOPEDICA - EM  TITANIO,COM 12,00MM,UTILIZADO PARA RECONSTRUCAO LIGAMENTAR, RETANGULAR SEM CONTROLE DO LOOP PARA USO FEMORAL E TIBIAL|PRÓTESE DE JOELHO, TIPO CIRURGIA: CIRURGIA REVISÃO , COMPONENTE: COMPONENTE HASTE TIBIAL / FEMORAL , MATERIAL: TITÂNIO , TIPO FIXAÇÃO: CIMENTAÇÃO BIOLÓGICA , ESTERILIDADE: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|PRÓTESE PARA LIGAMENTO, TIPO: PLACA TIPO BOTÃO , FORMATO: RETANGULAR , MATERIAL: TITÂNIO , COMPONENTES ADICIONAIS: C/ FIO DE POLIETILENO E POLIÉSTER TRANÇADO MONTADO , TIPO USO: USO ÚNICO, ESTÉRIL , APRESENTAÇÃO: EMBALAGEM INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
428224-8|2.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|COMPONENTES PARA EQUIPAMENTOS MEDICO HOSPITALARES|False||MEMBRANA - SISTEMA DE VENTILACAO KT5,PARA KT5. APARELHO DE ANESTESIA DRAGER.|CONECTOR USO MÉDICO, APLICAÇÃO: P/ACESSO VASCULAR , MATERIAL 1: POLÍMERO , MATERIAL 2: C/ MEMBRANA SILICONE , MODELO: SISTEMA FECHADO , COMPONENTE 1: CONEXÃO LUER , COMPONENTE 2: VALVULADO , CARACTERÍSTICA ADICIONAL: P/ USO SEM AGULHA , TIPO USO: ESTÉRIL, USO ÚNICO |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|PEÇA EQUIPAMENTO MÉDICO, TIPO 1: Diafragma / Membrana , FUNÇÃO: p/ cassete expiratório , COMPATÍVEL: COMPATÍVEL C/ VENTILADOR PULMONAR |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
611651-5|3.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {2000.0}}|EQUIPO PARA BOMBA DE INFUSAO - PARA SOLUCOES ENTERAIS, MACROGOTAS COM CAMARA DE GOTEJAMENTO FLEXIVEL,CONTROLE DE GOTEJAMENTO POR PINCA ROLETE CORTA FLUXO, COLORACAO DE ACORDO COM A NORMA, TUBO EXTENSOR COMPRIMENTO APROXIMADO 200,00 CM, EM PVC ATOXICO, ESTERIL, TERMINAL DO EQUIPO ADAPTAVEL A SONDAS PARA DIETA EM FORMATO DE CRUZ,EMBALAGEM EM PAPEL GRAU CIRURGICO,.|EQUIPO P/ BOMBA DE INFUSÃO, MATERIAL: PVC TRANSPARENTE , MATERIAL ADICIONAL: SEM SEGMENTO DE SILICONE , CÂMARA GOTEJAMENTO: MACROGOTAS, FLEXÍVEL, C/ FILTRO , REGULADOR DE FLUXO MANUAL: PINÇA ROLETE , COMPRIMENTO TOTAL DO TUBO: ACIMA DE 181 CM , TIPO INJETOR LATERAL: C/ 1 INJETOR, AUTOCICATRIZANTE , CONECTOR SOLUÇÃO: PONTA PERFURANTE , CONECTOR PACIENTE: LUER , COMPATIBILIDADE: C/ EQUIPAMENTO , ESTERILIDADE: ESTÉRIL, USO ÚNICO , TIPO EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|EQUIPO DE NUTRIÇÃO ENTERAL, MATERIAL: PVC SEM DEHP, C/ COR , TIPO: P/ BOMBA INFUSÃO, SEM SEGMENTO DE SILICONE, 2 VIAS , CÂMARA GOTEJAMENTO: MACROGOTAS, FLEXÍVEL , REGULADOR DE FLUXO MANUAL: PINÇA ROLETE , CONECTOR DIETA: PONTA EM CRUZ , CONECTOR VIA ADICIONAL: PONTA PERFURANTE , CONECTOR PACIENTE: COMPATÍVEL , COMPRIMENTO TOTAL DO TUBO: ACIMA DE 181 CM , ADICIONAL: C/ CLAMP , COMPATIBILIDADE: C/ EQUIPAMENTO , ESTERILIDADE: ESTÉRIL, USO ÚNICO , TIPO EMBALAGEM: INDIVIDUAL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|False|entrou
391468-2|2.0|2-3|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|ORTESES, PROTESES E MATERIAIS AUXILIARES|False||STENT VASCULAR - STENT REDIRECIONADOR DE FLUXO,TIPO PIPELINE|ENDOPRÓTESE VASCULAR PERIFÉRICA, TIPO: STENT RECOBERTO , MATERIAL PLATAFORMA: LIGA METÁLICA , DIÂMETRO: CERCA DE 5 X 20 A 120 MM, SISTEMA ENTREGA: AUTO EXPANSÍVEL , ESTERILIDADE: ESTÉRIL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|ENDOPRÓTESE VASCULAR PERIFÉRICA, MODELO: INTRACRANIANO, P/ SUSTENTAR COLO ANEURISMA , TIPO: STENT NÃO FARMACOLÓGICO , MATERIAL PLATAFORMA: LIGA METÁLICA , DIÂMETRO: CERCA DE 2 A 3,25 X 10 A 30 MM, SISTEMA ENTREGA: AUTO EXPANSÍVEL , ESTERILIDADE: ESTÉRIL |INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS|True|entrou
185252-3|1.0|1|big_data|EQUIPAMENTOS E ARTIGOS DE USO MEDICO, ODONTOLOGICO , HOSPITALAR E LABORATORIAL|MATERIAIS DE USO TECNICO HOSPITALAR|True|{'MM': {102.0, 127.0}}|CURATIVO CIRURGICO - POLIURETANO TRANSPARENTE, RESISTENTE IMPERMEAVEL A AGUA MAS PERMEAVEL AO OXIGENIO COBERTO COM ADESIVO ACRILICO HIPOALERGICO, MEDINDO ( 10,2 X 12,7 )CM APROXIMADAMENTE, INDIVIDUAL, ESTERIL|PELÍCULA PROTETORA, TIPO: ADESIVA , COMPOSIçãO: À BASE DE POLIURETANO (PU) , COMPONENTE 1: C/ SILICONE , DIMENSÃO: CERCA DE 10 X 12,5 CM, ESTERILIDADE: ESTÉRIL |MATERIAIS CIRÚRGICOS PARA CURATIVOS|PELÍCULA PROTETORA, TIPO: ADESIVA , COMPOSIçãO: À BASE DE POLIURETANO (PU) , COMPONENTE 1: C/ SILICONE , DIMENSÃO: CERCA DE 10 X 12,5 CM, ESTERILIDADE: ESTÉRIL |MATERIAIS CIRÚRGICOS PARA CURATIVOS|True|entrou
603796-8|2.0|2-3|big_data|MAQUINAS E EQUIPAMENTOS PARA INDUSTRIAS E USINAS ESPECIALIZADAS|MAQUINAS E EQUIPAMENTOS PARA INDUSTRIAS DE LATICINIOS|True|{'ML': {9600.0}}|TANQUE DE RESFRIAMENTO - ISOTERMICO EM FORMATO CILINDRICO PARA DE LEITE A GRANEL,COM CAPACIDADE PARA 9.600 LITROS,COM MODULOS INTERNOS, REVESTIMENTO EXTERNO COM CHAPA INOX, COM 3 COMPARTIMENTOS DE BOCAS DE VISITAS, SISTEMA DE CARGA E DESCARGA, SISTEMA ICP, CONJUNTO BASE (CHASSI) E PLATAFORMAS DE PROTECAO LATERAL, PASSARELA SUPERIOR E ACESSORIOS|PANELA PRESSÃO, MATERIAL: ALUMÍNIO POLIDO , CAPACIDADE: 10 L, CARACTERÍSTICAS ADICIONAIS: TAMPA COM SISTEMA DE FECHAMENTO EXTERNO |UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA|TANQUE REFRIGERADO, MATERIAL: AÇO , FORMATO: CILÍNDRICO , DIÂMETRO: 40 M, ALTURA: 34 M, VOLUME ÚTIL: 31.000 M3, APLICAÇÃO: AMÔNIA LÍQUIDA , TEMPERATURA: -35 °C|TANQUES DE ARMAZENAGEM|False|entrou
601805-0|2.0|2-3|big_data|ARTIGOS, UTENSILIOS E UTILIDADES DE USO DOMESTICO E PESSOAL|GUARNICOES DE CAMA, MESA E ARTIGOS DE PANO|True|{'MM': {0.0}, 'PCT': {100.0}}|COBERTOR - COMPOSTO DE 100% POLIESTER,MEDINDO SOTEIRO MEDINDO (1,80MX2,00M),TIPO MANTA , LISO  (LAVAVEL COM TOQUE FELPUDO E AVELUDADO),CORES CLARAS|COLCHA CAMA, TIPO: COBERTOR , MATERIAL: 100% POLIÉSTER , MEDIDAS MÍNIMAS (C X L): 1,50 X 2,00 M, COR: COR AZUL INDIGO , CARACTERÍSTICAS ADICIONAIS: LISO; COSTURA REFORCADA |UTENSÍLIOS DOMÉSTICOS|COLCHA CAMA, TIPO: MANTA , MATERIAL: 100% POLIÉSTER , MEDIDAS MÍNIMAS (C X L): 2,20 X 1,80 M, COR: BRANCO , GRAMATURA MÍNIMA: 200 G/M2|UTENSÍLIOS DOMÉSTICOS|True|entrou
525178-8|1.0|1|big_data|EQUIPAMENTOS E MATERIAIS PARA EXPERIENCIA EM LABORATORIO ESCOLAR, RECREACAO E DESPORTO|EQUIPAMENTOS ESPORTIVOS E EDUCATIVOS|True|{'MM': {1000.0, 1.5, 2.5, 10000.0}}|REDE - DE POLIURETANO,NA COR BRANCA,COM FIO DE 1,5MM A 2,5MM, POLIETILENO (TIPO SEDA ),TAMANHO OFICIAL,COM DUAS FAIXAS HORIZONTAIS (SUPERIOR E INFERIOR) E DUAS FAIXAS VERTICAIS (LATERAIS) EM ALGODAO OU LONA, MEDINDO 1,00X10,00M (AXC)|REDE ESPORTE, MATERIAL: FIO SEDA , MATERIAL REFORÇO BORDA: SEDA , COR: VERDE , APLICAÇÃO: VOLEIBOL , CARACTERÍSTICAS ADICIONAIS: COM AJUSTE DE TENSÃO , TAMANHO: OFICIAL |EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO|REDE ESPORTE, MATERIAL: FIO SEDA , MATERIAL REFORÇO BORDA: SEDA , COR: VERDE , APLICAÇÃO: VOLEIBOL , CARACTERÍSTICAS ADICIONAIS: COM AJUSTE DE TENSÃO , TAMANHO: OFICIAL |EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO|True|entrou
604988-5|3.0|2-3|big_data|MOBILIARIOS EM GERAL|DEPOSITO, ARMAZENAGEM E ESTOCAGEM - CADASTRO PADRONIZADO|True|{'MM': {600.0}, 'PCT': {5.0}}|ARMARIO - TIPO - ARQUIVO DESLIZANTE DE MODULO COM FACE MOVEL,EM ACO CARBONO,REVESTIMENTO COM PINTURA EPOXI,MEDINDO 1,26MX 0,60M,COM VARIACAO  DE ATE 5%,COM  PORTAS,COM  PRATELEIRAS,SEM GAVETAS,MODULO SOBRE PLATAFORMAS|ARMÁRIO AÇO, ACABAMENTO SUPERFICIAL: PINTURA ELETROSTÁTICA EPÓXI-PÓ , QUANTIDADE PORTAS: 2 UN, QUANTIDADE PRATELEIRAS: 4 UN, ALTURA: 1,85 M, LARGURA: 90 CM, PROFUNDIDADE: 0,45 M, CARACTERÍSTICAS ADICIONAIS: PORTAS COM PUXADOR E FECHADURA, PRATELEIRAS REGULÁ , MATERIAL: CHAPA DE AÇO |ARMÁRIOS E ESTANTES|ARMÁRIO ARQUIVO, REVESTIMENTO: LAMINADO MELAMÍNICO , PRATELEIRAS INTERNAS: 3 , LARGURA: 0,90 M, PROFUNDIDADE: 0,50 M, ALTURA: 1,60 M, PADRÃO ACABAMENTO: TEXTURIZADO , MATERIAL: POST FORMING (FÓRMICA) , MATERIAL BASE: METAL , COR: ARGILA , QUANTIDADE PORTAS: 2 , TIPO PORTA: COM FECHADURA , CARACTERÍSTICAS ADICIONAIS: COM TRINCO TIPO GANGORRA, PUXADORES DE POLIETILENO |ARMÁRIOS E ESTANTES|False|entrou
